License,PortType,TotalPayed,StationID,PortNumber,InQueue
11223344,FAST,90.00,412,1,0
12345678,FAST,125.00,101,1,0
20053042,SLOW,17.00,0,0,0
21339412,MID,111.00,0,0,0
21794617,MID,19.00,0,0,0
22112748,SLOW,147.00,0,0,0
22502659,MID,43.00,0,0,0
22526350,MID,77.00,0,0,0
23321957,SLOW,80.00,0,0,0
23456789,SLOW,40.00,101,3,0
24799602,FAST,88.00,101,0,1
25045665,FAST,95.00,518,0,1
25497284,SLOW,36.00,0,0,0
25529962,FAST,115.00,101,0,1
26054912,SLOW,30.00,0,0,0
26423659,FAST,13.00,101,0,1
26538849,MID,35.00,0,0,0
26920954,MID,142.00,0,0,0
27187646,MID,133.00,0,0,0
27205295,MID,42.00,101,0,1
28173908,FAST,93.00,412,0,1
29145178,MID,93.00,0,0,0
29165333,MID,90.00,101,0,1
29450109,SLOW,74.00,0,0,0
29587102,FAST,70.00,518,0,1
34567890,MID,63.00,101,4,0
55667788,MID,33.00,518,1,0
66778899,FAST,100.00,518,4,0
87654321,MID,87.00,101,2,0
99887766,MID,75.00,623,1,0
